,Adipose Fin,Anal Fin,Body,Caudal Fin,Dorsal Fin,Eye,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
214,"[0.3480920420109069, 1.1301353929342144, -0.47342708855660226]","[0.4905909016566756, 1.210406456484363, -0.48011913509218423]","[0.3990859622156718, 1.2757738840385875, -0.3472203449919284]","[0.37467824301175917, 0.9908864524236228, -0.5520812916098407]","[0.32610370934328353, 1.350356275981614, -0.3393929432417085]","[0.2432237265519283, 1.3143949549678318, -0.08131725419819125]","[0.2666080305862292, 1.3064976180040666, -0.0945234413801508]",,"[0.4943536278699655, 1.2469593461387025, -0.3298299037983132]",1957,cjn1ge0x8867f0733modf7w9m
215,"[-0.19073926334822233, 1.0022339295559397, -0.12217664762520421]","[-0.05418476143433113, 0.98700326940576, -0.14396894287734327]","[0.006043164658645486, 0.740445661271096, 0.038633691380206024]","[-0.18405706970845676, 0.9768767668891454, -0.24726784132973434]","[-0.08823129622694136, 0.8421526350554792, 0.05761507143086756]","[0.09150575800022437, 0.7261044839915364, 0.2725895491747697]","[0.07130285509908861, 0.6150448137497124, 0.1978495443282947]","[0.1666172794941177, 0.7596343106079051, 0.19825077767351648]","[0.09129621365699932, 0.9131449539231068, -0.022470784652576264]",4480,cjn1irninuod80710jniq96m8
216,"[0.08965584882969306, 1.0590259759017902, -0.3569785973696927]","[0.17110647182748956, 1.026239109031205, -0.4008329673279721]","[0.2679339888839415, 1.081088731699174, -0.2847750255153201]","[0.029404263312405105, 0.9863949603470796, -0.4450584375337766]","[0.22013640131015966, 1.1724677423420022, -0.2500114186345999]","[0.42830119651039367, 1.1315689586927795, -0.11754874496849048]","[0.46490796052312133, 1.178463039413224, -0.129716866954445]","[0.4688796981683534, 1.135370619278238, -0.19037417476222127]","[0.29968232385514804, 1.0110518586337578, -0.33151824758533116]",2121,cjn1hr31v8ryi0733edjp2ubu
217,"[-0.024825059682321023, 1.0423935990260285, -0.46167492597270604]","[0.06377422394024758, 1.0102660560538783, -0.49855701498634203]","[0.1463263888779908, 1.1038923567159427, -0.3776516281420853]","[-0.05586954395233624, 1.0171703624360908, -0.5450040011496666]","[0.06734867319607145, 1.132118939676009, -0.34008875520277426]","[0.30138375225719755, 1.2005894479090784, -0.17466085246516175]","[0.31546399555180143, 1.2202096805253504, -0.19976743828538163]","[0.30293506562957845, 1.0904526552908766, -0.263590226439903]","[0.18423632789965338, 1.0302307487609526, -0.42771157457286946]",2121,cjn1hcmp7tz0p0710986qgnfh
218,"[-0.2419359161491581, 1.191233486803659, -0.25686879250253525]","[-0.1389345357145025, 1.2082659239040066, -0.19722658567048632]","[-0.312321590343741, 1.0863546656597216, -0.048744279325085973]","[-0.08247518957302533, 1.1242494789369224, -0.31312982548161294]","[-0.38984748432241606, 1.165341916848716, -0.11130933589052466]","[-0.5287372808870456, 1.0652748372726533, 0.15331153638978412]","[-0.5268981198466403, 1.1281355983724357, 0.1580828622150074]","[-0.39464066991368557, 1.0763088289297291, 0.12494198281424858]","[-0.20645199282568308, 1.1860980716199299, -0.04093708286370057]",2997,cjn1gfn6rtiho0710nygbyezl
219,"[-0.20849160154614557, 0.7528578701384326, 0.1335636427831103]","[-0.08247808004029084, 0.6969133082135353, 0.09388226519115829]","[-0.11362865714273185, 0.8288564065677045, 0.02666929307629408]","[-0.1215049813446802, 0.5787990960251901, 0.17088458390158334]","[-0.21939772133967414, 0.9518188859923483, 0.02748095647343967]","[-0.1278473419614634, 1.0778514238426857, -0.18882147433886792]","[-0.11204796044945808, 1.0546961480752695, -0.168542032555808]",,"[-0.015740754331006707, 0.8415767699489375, 0.01420320160493396]",2773,cjn1iydxmus3i0710t86q3pny
220,"[-0.4126911769560391, 0.8369665565944157, -0.24864113547136832]","[-0.31782551039460144, 0.9198691126837955, -0.24105135395026278]","[-0.3570284027035682, 0.875356547122137, -0.09975400403751866]","[-0.31113893390398123, 0.7608031714980747, -0.3379996024180782]","[-0.5378077652239923, 1.0209739739786132, -0.09881558844316678]","[-0.39590678468332346, 0.9791177287493565, 0.1372622333797059]","[-0.37352789587195573, 0.9797993656577049, 0.1229589741093207]","[-0.32534916848397716, 0.966006068996401, 0.06899519503709235]","[-0.25427136869654077, 0.852117870272583, -0.09739910063665895]",2121,cjn1h2wz0ttvp0710zrz075fb
221,"[-0.2896371887406724, 1.3066027146169197, 0.16587508561307532]","[-0.18006087410776797, 1.3255512597588965, 0.1359447479147207]","[-0.29085846833775186, 1.2753248643013184, -0.023146178073316107]","[-0.1687245957051997, 1.24327776900403, 0.23804529636684704]","[-0.41018867153900085, 1.3686645286141272, 0.004193642308286235]","[-0.379333647584014, 1.229403158637395, -0.24475855726444762]","[-0.35864581201311824, 1.2313992946348926, -0.23507963463791345]","[-0.27574153950653413, 1.232891678045019, -0.16206101232747397]","[-0.196472910212967, 1.35320257815391, -0.008035725701233357]",2773,cjn1iky9f967f07337o7kazm5
222,"[0.02788015396140236, 1.1208639804956881, -0.15806508479682527]","[0.14547226232466573, 1.1310105080095434, -0.15456666220350201]","[0.07175314101066914, 1.1702076286791387, -0.06322844123950389]","[0.07494622717033643, 1.116476125062601, -0.2714071998272274]","[-0.015175096670631579, 1.240541946170741, -0.018351311951438756]","[-0.02049264557133099, 1.339790198742133, 0.1261553869126214]","[-0.002279479196491569, 1.2082825251760458, 0.099256965198351]",,"[0.1561305323064444, 1.1916071273095357, -0.022775139089087515]",1957,cjn1iissduk1m0710hxxbmao0
223,"[0.2890660501223657, 1.3640076544626614, -0.2733844994121381]","[0.39190077313937083, 1.3984800983658066, -0.1977638091076961]","[0.14285082167859978, 1.3662163635882905, -0.0738269609046769]","[0.4567125516249805, 1.2890000267089843, -0.33423466283106973]","[0.06589926855726291, 1.4492085085884763, -0.12651191139058052]","[-0.13431732341965533, 1.3943064928696418, 0.14870811671400316]","[-0.1041083289647946, 1.3794853653004115, 0.13661420596574253]","[0.01232844067660551, 1.398772998815203, 0.11315563223257638]","[0.2581522149620296, 1.4203463550471316, -0.0442003367455603]",2997,cjn1ghnep880z0733udh24uex
224,"[-0.5075544114723732, 0.9880319590985289, -0.20622793009907023]","[-0.37495976797729735, 0.998622130228326, -0.21578738119135393]","[-0.27992228495257643, 0.7376831807986545, -0.03926967282071456]","[-0.45368753432540937, 0.8957714796242616, -0.3103240842325598]","[-0.47800420386731873, 1.0153854416972035, -0.006365744475389944]","[-0.30610840044621396, 0.8904738097105921, 0.22600509975972327]","[-0.22343036842685177, 0.6909538487599396, 0.1376835934528579]","[-0.25123993312043236, 0.9343954297447549, 0.14166893011225484]","[-0.2868426341735983, 1.0765725882447434, -0.08036518207734993]",3949,cjn1j118f9exf0733a0v5dexa
225,"[-0.19759661243402143, 0.731920356119131, 0.16117094469736432]","[-0.06627661906607808, 0.646396531192901, 0.13760551342309754]","[-0.08120604885087687, 0.6978905633047874, -0.004734550573150587]","[-0.16351066042561366, 0.6229795554577023, 0.24005184112529432]","[-0.172723309549721, 0.7984492532892082, -0.012010566002008961]","[-0.09553463076095327, 0.7809395796060022, -0.26966559510525834]","[-0.07801305276659841, 0.7801781740981838, -0.24988060141425342]","[-0.008342715530555354, 0.7309917829198656, -0.1660682751485822]","[0.024919740178750028, 0.7691662094929046, 0.022188470037926917]",2773,cjn1k8gpfa2660733p1xk0npi
226,"[-0.0759035114640369, 1.0593231720030434, -0.4239257939984473]","[0.027005021190118033, 1.0312105455260028, -0.44437114284713525]","[0.06080396988935405, 1.0862739699875499, -0.3025338000160307]","[-0.05702403837840805, 0.9494461057482324, -0.5015732836270989]","[-0.024764436619777418, 1.1584629136999478, -0.2866496583115491]","[0.15201332870076928, 1.217749102360394, -0.08513799194603691]","[0.17168104919698776, 1.237862344872182, -0.10743440857142937]","[0.19503570401379783, 1.1600321538204512, -0.17488499076774033]","[0.1276961694541747, 1.0649799398115691, -0.35361573980563976]",2121,cjn1hcalr8l780733uer395ya
227,"[-0.27250498486884667, 0.9853171000960113, -0.1497675894632512]","[-0.17507797062380284, 1.0017864176207094, -0.21020971467071314]","[-0.028303861891229784, 0.891271859906885, -0.0477996486643819]","[-0.3907686862554764, 0.9866543141695588, -0.2383884895005436]","[-0.10545658197368937, 0.9278129716247775, -0.018772921129583287]","[0.13873693558985306, 0.8299520431776879, 0.15338029592952546]","[0.14205366664866276, 0.8390237499615074, 0.133757996410971]","[0.17114604992859822, 0.9013881513849283, 0.049282396432755914]","[0.025129140517727706, 0.9615144967502395, -0.13896181265989793]",3164,cjn1i1o4k8wva0733h5bco0fh
228,"[0.2604627549491829, 0.71640845479274, 0.13027360419469977]","[0.37961002847562664, 0.6750563919026292, 0.12530267760954372]","[0.28656657763762994, 0.6083760687385493, -0.039183386934596234]","[0.313428716171929, 0.6782865914951702, 0.21354522717506744]","[0.2144413006128479, 0.6769743642494647, -0.01779235921354985]","[0.22801246616246088, 0.4889648720270491, -0.20906337383337711]","[0.2369386814229403, 0.5054661248724424, -0.20948268350140234]","[0.3298459016837646, 0.5320887148941978, -0.16436819366480904]",,3164,cjn1iithbuk2t0710p46ajdh8
229,"[0.24913734368474424, 0.7121315396126746, -0.10701530989584299]","[0.3620834158594407, 0.6755901302092807, -0.11139847602390361]","[0.33643690746992716, 0.7422007139191302, -0.0012460527481279627]","[0.2925670299471659, 0.6309676201272004, -0.21613811902182883]","[0.2517779948985743, 0.7969716320386085, 0.029693614556350105]",,"[0.35477847714469346, 0.8182830575470804, 0.16991920576458672]","[0.39467149347719593, 0.7471529955803909, 0.13054550786585367]","[0.4291839254942066, 0.7040414916094306, -0.01098110040005977]",2121,cjn1hvageu7my0710ouw5kfr4
230,,"[-0.11457482294647757, 0.9159499092411205, -0.3335712275068546]","[-0.14340901603756145, 0.8841204451756164, -0.19975594515225442]","[-0.19573058677821756, 0.7696471968018648, -0.406851576054474]","[-0.22422268641532928, 1.0038056700117075, -0.17888133790116803]","[-0.19041201662723833, 1.0893271030010547, 0.03129633190514488]","[-0.16542301599142017, 1.0921928076856766, 0.01716849909480622]","[-0.10189534409781706, 1.0582779916938663, -0.038709798838758594]","[-0.05867083082808689, 0.9629858621520878, -0.20661375480375307]",1957,cjn1gorbatnpk0710pi785cgj
231,"[-0.42061350695222516, 1.353781512262003, 0.07694278189966453]","[-0.30608914542591187, 1.3173167165604016, 0.026798169507278747]","[-0.46923485110425056, 1.2936486249877706, -0.11684199717358203]","[-0.26887214929119063, 1.3281955332526625, 0.14200161261473598]","[-0.6471498267414654, 1.4960927644923552, -0.08966400400732548]","[-0.5969945938642578, 1.1613813618195155, -0.3237432877153653]","[-0.576670917213032, 1.180249212657561, -0.3175931725025653]","[-0.5015311845544359, 1.2613381671614279, -0.2689014941981307]","[-0.3704202057403107, 1.3505245531241719, -0.1137089856686615]",2773,cjn1im4px97090733dk2ug7ka
232,"[-0.31829148924711087, 0.7462919729672677, -0.14595144646030617]","[-0.227532720581596, 0.7163420107607955, -0.20270873781680707]","[-0.10416051154160359, 0.7216625876832209, -0.08079068096498859]","[-0.38560803372050023, 0.725986634606947, -0.22931465833896894]","[-0.14353166287566443, 0.7818362727867808, -0.032048082123817496]","[0.08849963080925437, 0.8092056597129496, 0.09618288032153953]","[0.0937637845165134, 0.7279720870441115, 0.06710073973956154]",,"[-0.06571812227384981, 0.7565688722642969, -0.14457476339335756]",1957,cjn1gon9x8bc407337evdxtaw
233,"[-0.3828301811551978, 0.8320011999351528, 0.08180636812320655]","[-0.2600767503496965, 0.8284916730206048, 0.09520560202400159]","[-0.25561546760708215, 0.7919967303009011, -0.0827633702571944]","[-0.35546803783069614, 0.6950724907878132, 0.1607131135630693]","[-0.35263560025659957, 0.869973613518386, -0.08718049256228165]","[-0.29397451325166135, 0.7339237924217502, -0.3188802479756214]","[-0.28020436427335593, 0.776473281717324, -0.31746961084811115]","[-0.19246929558452755, 0.781189025522186, -0.24638676264532652]","[-0.18122748485253606, 0.8766506862031738, -0.04692528553538897]",2997,cjn1fgcr07uiu0733uouzasmv
234,"[-0.15794830705236956, 0.6516900819910397, 0.08754929821293286]","[-0.04541069405172381, 0.6621327907547458, 0.06765158092831408]","[-0.12218234622218918, 0.6524635959034928, -0.08189299380913741]","[-0.06627443530487534, 0.5615109718941695, 0.15782376008450968]","[-0.23045432338183133, 0.7455414194964864, -0.07592653566901744]","[-0.1836672909868569, 0.6588415291149646, -0.3207637741670979]","[-0.16511146730335574, 0.6601750168479461, -0.30551804689090684]","[-0.09903325507124351, 0.7067212725596145, -0.243912553195644]","[-0.02860915535338551, 0.7150329339807525, -0.07130861247262078]",2773,cjn1jit1p9oqf07331bmi9qwa
235,"[0.2332779007313834, 0.8347270319781942, -0.13055707205688932]","[0.319529110821985, 0.8100081632432221, -0.19526554039029398]","[0.4035828279018262, 0.8320616106820613, -0.08743873345524791]","[0.1546657925442142, 0.8690157824811712, -0.20515376193731874]","[0.39552642582640773, 0.8072401411685395, -0.006317230820119774]",,,,"[0.5100067320602789, 0.818389269190087, -0.1264562339109376]",1957,cjn1g1dn081l00733r1grmmlu
236,"[-0.45990963044284844, 1.1694498463445586, -0.11252567719550498]","[-0.3142353487249607, 1.138321294040199, -0.14893278110767852]","[-0.22203205667582718, 1.2004337037538635, 0.03189199989261243]","[-0.49229000162008957, 1.0918271061626252, -0.23186296678263224]","[-0.30329677961348916, 1.1676440565981012, 0.07024269612887674]","[-0.04633680721570401, 1.179221705575918, 0.2707861308736461]","[-0.03012461545049985, 1.2451230539837546, 0.2688179824923808]","[-0.022132368720794483, 1.124818104324662, 0.16666790903373088]","[-0.15135048244728283, 1.2444936541839, -0.04537334439066916]",3949,cjn1h2q8h8ghb0733zqc1kq5q
237,"[-0.42430880723161324, 1.100263317344569, -0.24537419276404396]","[-0.2899901695989516, 1.010059149369351, -0.27891386758708686]","[-0.1835290962621349, 1.1402973748605931, -0.1468576658835175]","[-0.4792339133131535, 1.0039662105627838, -0.34577549411511305]","[-0.23482998139100592, 1.0666805780758133, -0.0839565743456475]","[0.04277188691115702, 1.1690565627338316, 0.07179389008560039]","[0.0541651605706753, 1.169323413062846, 0.048969604735994446]","[0.053735680051445356, 1.1143393558458572, -0.02751334587121127]","[-0.13038551471580384, 1.0884251287003097, -0.22160527415770317]",3949,cjn1h7n568ioi0733rjd3n2ja
238,"[-0.2754609716276901, 1.1616236614554873, -0.27030816285247267]","[-0.14920573312811944, 1.1305766005530222, -0.3211705342197099]","[-0.0266326199503091, 1.0695578364389717, -0.14728198627224348]","[-0.3298413135940778, 1.1066340916459219, -0.379191820061224]","[-0.10509958248991426, 1.1531023063134314, -0.09827976641809642]","[0.1806585316376226, 1.0492131272974439, 0.07312002031001798]","[0.1802546478331513, 1.0428800198129202, 0.04556051150263479]","[0.20329233926129425, 1.0553170184301126, -0.038832682004644466]","[0.022047831698445083, 1.1048868216263426, -0.23280909906418704]",3949,cjn1h4fxituk70710knovi3ju
239,"[0.13375056500575289, 0.9829536209128968, -0.3179802634862118]","[0.26038358406495443, 0.9650008927075758, -0.2927492933518368]","[0.1820013119597906, 0.8728289289573582, -0.1532824422141804]","[0.159810719264724, 0.8473117238994985, -0.3997829304763321]","[0.14360511790135033, 1.1109346708679277, -0.14331573371482997]","[0.2025756563610172, 1.1495656913920285, 0.10243338251320097]","[0.17959193531245224, 0.9315627252595496, 0.04394170583285964]",,"[0.3231576251440444, 1.04556723771366, -0.15006110328537087]",2559,cjn1hxe2v8uyv0733d658oyio
240,"[0.04039264432847988, 1.0827819617759658, -0.5085119360219881]","[0.16202095721778184, 1.1392473514399148, -0.5278443397737762]","[0.10335307519470317, 1.1229819108714696, -0.3589135020265659]","[0.0552433029509816, 0.937004365008395, -0.5687287376204369]","[0.021563060177136505, 1.2943338791299603, -0.3857465678059519]","[0.09093365469803276, 1.3024294951162467, -0.11707784770945107]","[0.11382349286663207, 1.2621675197912914, -0.13383444095751187]","[0.21567431250080413, 1.5991238764717297, -0.24384189496712183]","[0.21231097365093568, 1.2030321689327554, -0.4102184475394769]",2121,cjn1i2hz0ubd90710x65rme0w
241,"[-0.4141639166074731, 1.1425133961898208, -0.3571618790804907]","[-0.2892464877297434, 1.1784386293607436, -0.3944536071366779]","[-0.2794958260634213, 1.1116082367771245, -0.17799774939599436]","[-0.39502765803765405, 1.1005499956488127, -0.5101258510774609]","[-0.3508206310499623, 1.0856304934796404, -0.17757012159557709]","[-0.28361101107694486, 1.0689822864069913, 0.10455785759230843]","[-0.25827854138822515, 1.081536837447423, 0.08887549481996448]","[-0.1589375112258694, 1.0402242016962424, -0.0016490961867084732]","[-0.1743024702911389, 1.1680739580651633, -0.23587279323201593]",2997,cjn1hrfkfu5mo0710jr6zqkkm
242,,"[-0.19959340388323457, 1.2617461398946392, -0.006091434066540228]","[-0.31105518694557516, 1.1489186895215295, -0.15996484372472317]","[-0.2246067527427738, 1.304533967100209, 0.1124158018239198]","[-0.4110650373740169, 1.175351378629519, -0.13826274366409913]","[-0.38910776772543076, 0.9344971890844682, -0.30428156767741493]","[-0.3771783730765906, 0.9560363541920142, -0.3061551793344443]","[-0.28817748110555935, 1.0250664530410396, -0.25473522423182043]","[-0.20214753983539632, 1.2246465004627003, -0.14661306482091596]",3164,cjn1iat1qufpa0710rpavunjj
243,"[-0.12593088685240036, 0.8451143075033903, -0.25761947300496446]","[0.0073057399565772466, 0.4202042919584072, -0.14923020575100085]","[0.05603497133133771, 0.7522021504464951, -0.08120901798289597]","[-0.1286308073553579, 0.7422695274918888, -0.3455386234404211]","[-0.04397189797918636, 0.8589779238340688, -0.06329458792925376]","[0.15941574729660038, 0.7509137093465423, 0.1741842662600718]","[0.17676209147803298, 0.7920525237594037, 0.16519807098599756]","[0.2361340325696752, 0.7612912230779046, 0.06281444294266778]","[2.1411771832732502, 11.25238498012103, -2.2292414257820967]",3949,cjn1i45x7uc630710rfy5qewd
244,"[0.28709284705657345, 1.1184212007180172, 0.12544056385574545]","[0.46153227970879157, 1.1924822553090957, 0.08761269664099668]","[0.2744260383605474, 1.1007225511744514, -0.11532798903751561]","[0.42431543323058757, 1.095640413324349, 0.24612907433267517]","[0.17127909452434684, 1.216399175403128, -0.09339555560669865]","[0.17280999593297783, 1.120591052825667, -0.4319692965089894]","[0.17886844874104085, 1.076943415652673, -0.4057008653854365]","[0.3152628200980819, 1.1408230086563926, -0.354040036906767]","[0.46472874924463364, 1.215399098541518, -0.11268962749691355]",4480,cjn1htuhku6ue07101i41mwu1
245,"[0.38657530540532237, 1.104462114968533, -0.20207612790617993]","[0.5091894166333816, 1.0711260940194298, -0.1985988404278419]","[0.4411602465364419, 1.0618300335956887, -0.03580196759818886]","[0.4477888838178579, 1.1124512491395646, -0.3217694262006705]","[0.36500724794983985, 1.0784729226252665, -0.020093295169474463]","[0.37683767006137026, 1.0387773122518462, 0.1978982908201848]","[0.393822273314544, 1.0258046618403465, 0.18143280805760154]","[0.4892966794361621, 1.0527829452270938, 0.12402119045345153]","[0.568098920515002, 1.1102337312762718, -0.05979595821706939]",1957,cjn1g848l83u60733ba09r722
246,,,"[-0.021288119495425386, 1.0717286455137873, -0.12063728462499958]","[-0.40961735477714084, 1.2538105196563791, -0.06827643313712135]","[0.004992336835572792, 0.6522499940324372, -0.133535357432398]","[0.21041102019353614, 0.8937769462568868, -0.19301312843843596]","[0.20840414192691334, 0.9372431742565087, -0.21594966480628872]","[0.24386305921328547, 0.9790547519247752, -0.13286914186023183]","[-0.0052874477426657395, 1.1232929211817144, -0.05208851901913443]",4315,cjn1jr5yzv7qo0710rmlqtzqh
247,"[-0.25669387097349305, 1.1373914376735303, 0.030292237398903462]","[-0.12914954683466856, 1.0957243948267301, 0.035195182722370245]","[-0.17412862886034167, 1.1254029357965383, -0.14297919593857875]","[-0.21304117368098122, 1.1589283628085099, 0.15473950057966873]","[-0.2613995021038294, 1.1320863030433919, -0.13536459688881877]","[-0.18970356790309462, 0.9715512461281833, -0.35064420067844404]","[-0.17755828371416954, 1.0047309334379007, -0.34884559177753266]","[-0.10396957540720245, 1.0365080866009817, -0.27249909479057977]","[-0.06769185361514565, 1.1507330728504053, -0.10668027330251793]",2773,cjn1irzod99yc0733z35338gq
248,,"[-0.23648943722125376, 1.2483824184978465, -0.4257878698549054]","[-0.13351566147733537, 1.2182068902708212, -0.2946707095938308]","[-0.35896216602491154, 1.1126839683712377, -0.46236653244162573]","[-0.18500880697388325, 1.428650441702424, -0.2555295575510716]",,"[0.10549601719785198, 1.4436049577219503, -0.14248156423621072]","[0.1311911630462983, 1.7668887357440606, -0.2689150300202469]","[-0.08035532853947829, 1.2127916031653196, -0.3528705236406969]",2121,cjn1hxcca8uxt0733sw9l2ogv
249,"[-0.41985103128515505, 1.1705459729390844, -0.0803820442459918]","[-0.29736298715943904, 1.2781279135201191, -0.036818802844279304]","[-0.1806266040299953, 1.290249329423648, -0.2935962833804597]","[-0.45813595263566614, 1.2189337101970148, 0.05636583724914286]","[-0.28645915572643554, 1.201606182800004, -0.3146370792157834]","[0.016557073571972527, 0.9524004362970333, -0.4987750702946047]","[0.02994678897897073, 1.1172047127595912, -0.5591542985892044]","[0.06213262539645663, 1.0093120423522546, -0.3815909942192858]","[-0.09055838843653795, 1.2364878436354112, -0.168682005604614]",4480,cjn1hyuvq8vhm0733an3bprt3
250,,"[-0.11842700781484726, 0.8432071031460636, -0.22574636818178562]","[-0.14896895723423023, 0.7470233834356961, -0.022238995436710624]","[-0.21509712605384218, 0.8607130115013218, -0.33534502931417365]","[-0.24244540180474364, 0.7892126239242008, -0.08039439172944404]","[-0.1904109727362644, 0.627962393886057, 0.1803064740026879]","[-0.16864253473495802, 0.6433478840067958, 0.169733539910014]","[-0.09240899507945029, 0.6793354947161001, 0.12292296791428184]","[-0.0326012367332385, 0.7863756410821305, -0.09153352575844295]",2997,cjn1iv2r8uq8k0710fjp4nsso
251,"[-0.3130425032364579, 0.829490196434623, -0.028701257985317242]","[-0.20097085261312966, 0.8702615174899663, 0.0013338622876216551]","[-0.1619770486318821, 0.6530565336911444, -0.13507268312848317]","[-0.29651323301823723, 0.9327249552410638, 0.06440913414209255]","[-0.28598372817396056, 0.7544160890055751, -0.1436773657141701]","[-0.15187768545496252, 0.48097703008741066, -0.22407562616694499]","[-0.13758861827752775, 0.4843445450399196, -0.229430405977739]","[-0.08447316142583476, 0.5807390947477712, -0.1858928244185031]","[-0.10591056185738834, 0.8119923817632719, -0.09607570926487206]",2773,cjn1jxrspvbfw07105ehmv3dk
252,"[0.27740560517234103, 0.9635745442629544, 0.2693263665712476]","[0.224682881434856, 0.41892370638754006, 0.050745446210934096]","[0.33782966768291983, 0.8332951673292751, 0.06047369527589116]","[0.2733573272917517, 0.79434311200441, 0.34638846661614264]","[0.2881355028115682, 1.0008368759177533, 0.05673350992068722]","[0.4151565325820751, 0.9672254240988798, -0.22308570218922188]","[0.4164248590427407, 0.9476636083969512, -0.20144503291010712]","[0.5004719745791768, 0.9357582902177112, -0.12126511961279166]","[-2.1288929529132843, -4.770316241963223, -1.3899706858257874]",4480,cjn1hw4zju84k07107mu44zsl
253,,"[-0.33375799464131506, 0.9010039383949625, -0.3474601411748173]","[-0.35495731136381, 0.8786842240724875, -0.2013319678842851]","[-0.3872595870554645, 0.8683002110397583, -0.4258791142817103]","[-0.4574377576586231, 0.8842571501279721, -0.206207402783006]","[-0.3463675794595754, 0.8645602401362007, 0.009097742042784929]","[-0.33611432231587285, 0.8950967514628323, -0.007315728051184273]","[-0.2840538450481881, 0.870455935380206, -0.08894207870143822]","[-0.265891098173491, 0.8278161025456043, -0.24282009856479017]",2121,cjn1hd2qntzcm0710llkwc8gu
254,"[-0.07362556095216448, 1.05738549180284, -0.11679463655058117]","[0.044066042620767486, 1.1309834613701915, -0.14732951109377723]","[0.07807175721883726, 1.0456100186101789, 0.048971604669140995]","[-0.11288110536238605, 1.1542796528094597, -0.19957192078111935]","[-0.011360667261911499, 1.0208012690920385, 0.048827694538999954]","[0.11134737745532519, 0.9810632209951543, 0.27633902079778605]","[0.12351310191106299, 1.0013055914873215, 0.2639212301438616]","[0.19515422449486752, 0.9940695559792704, 0.2111130455648175]","[0.17462903092069357, 1.091994838210035, -0.014071150348846258]",3164,cjn1jpco8v6ow0710padk543t
255,"[-0.42970548169699846, 1.0798689336345106, -0.37371756748046214]","[-0.2843150678624937, 1.1174546367542924, -0.40679183345584186]","[-0.21627039515313293, 1.0008603127664417, -0.22226966996308758]","[-0.45342876111156194, 1.1861247812603395, -0.47032928314376465]","[-0.34338199657412627, 1.0476991898857646, -0.21519558597708405]","[-0.11597567661773071, 0.7774144484249863, -0.025667919141559675]","[-0.11048156677663379, 0.8624485592748279, -0.030971094004026273]",,"[-0.16409029852743254, 1.1243957116737016, -0.34177345326493574]",3949,cjn1h2pjnttr7071068n90csl
256,"[-0.2330218257801585, 0.6395593372331115, 0.12234725962048806]","[-0.10209771168276223, 0.5474165593721954, 0.09428706086498828]","[-0.10848664110753438, 0.6031373322816287, -0.054495456943100345]","[-0.1892688010960399, 0.5578300660598755, 0.21340152057452638]","[-0.19139429908625574, 0.6684952735226567, -0.07516840871195701]","[-0.09726300000166027, 0.6526336190045454, -0.3399215096204716]","[-0.09637411559229936, 0.6768084016575645, -0.3280204726492246]",,"[-0.0189347843258326, 0.6539340353036606, -0.02744782660455022]",4315,cjn1jvx3rvae30710pi2ox2l5
257,"[-0.17227600726534048, 0.6567349857183469, 0.1250617142598226]","[-0.043074115220007494, 0.625702334061826, 0.11449477301015552]","[-0.04349367728179774, 0.6438220556123201, -0.061560601576578645]","[-0.15807429555522903, 0.6540040214831494, 0.2600795362722126]","[-0.14661297595371447, 0.7462327217826582, -0.08177560802760497]","[-0.01142589380003098, 0.636940721075781, -0.33717883110189095]","[0.001872219850409615, 0.6652544297449726, -0.3272353518608799]","[0.06655933253336806, 0.6699438951717827, -0.25494417290973076]","[0.06428568840549306, 0.7126530314018543, -0.021601748712998577]",4315,cjn1k9nr6a2yx0733jms5lyiv
258,"[-0.18701539447912155, 0.9940490645116252, -0.24392305966580202]","[-0.045277233333202105, 0.9898638597482188, -0.26624245086974657]","[-0.01421394497763312, 1.0119238642659258, -0.09199013342897164]","[-0.1945907993298113, 0.9277596581555214, -0.3596617967757352]","[-0.10584731939431058, 1.0650922612968776, -0.05421485476014693]","[0.0923568142314801, 1.0131643822240566, 0.1678848774166923]","[0.11116548354591133, 1.0791407712517123, 0.15894841269294166]","[0.138453192143299, 1.0010002623401901, 0.07039748693144095]","[0.08124192801637248, 1.0411847156785972, -0.1442020046038826]",3949,cjn1hq5u88rhz07337xx24zk0
259,,"[-0.16993947157420636, 0.6280518689410035, -0.2777967536905934]","[-0.1404070947402912, 0.5021886628799949, -0.1123192917887234]",,"[-0.2538702574358687, 0.5398324433901605, -0.15475686568017089]","[-0.11127799639416044, 0.4122524557887752, 0.061227917697821155]","[-0.09815527740844858, 0.4159168251918976, 0.04357246947487383]","[-0.055118390198374514, 0.44958266305217304, -0.031743705011620174]","[-0.07462383832368075, 0.5488364483837214, -0.2121172201644085]",2773,cjn1lp7cew4n40710hnvvxdl9
260,"[-0.3794262361323776, 1.1496449623774603, -0.4133695960918705]","[-0.23966691225470427, 1.1538315560581773, -0.42668089241965274]","[-0.24552690101020702, 1.1185558458354175, -0.21825254397482066]","[-0.3072403271592302, 0.9950823178703041, -0.5264593937694558]","[-0.3375568978074599, 1.1502937249563432, -0.21200625043777152]","[-0.23899421128104642, 1.1680253848463245, 0.08902955683311979]","[-0.2168381646364276, 1.1659084787925218, 0.07104425664302934]","[-0.1652310865442999, 1.2867671987585363, -0.010325216098297094]","[-0.1452279710902355, 1.2030274201034166, -0.26443061143240437]",2997,cjn1eujx27orz0733tyx3q8v0
