,Adipose Fin,Anal Fin,Caudal Fin,Dorsal Fin,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
3321,"[0.05731930942620945, -0.6423666688943418, -0.2577807024100175]","[-0.06054949490411153, -0.6689001124171448, -0.2690078534335323]","[0.0713068392644365, -0.63866982546585, -0.3718805405280641]","[-0.011864342645457987, -0.6514437226078162, -0.07847961090079715]","[-0.16825054577760426, -0.637623936687077, 0.1233205604684293]","[-0.25574012826910236, -0.6240244942058535, 0.040149602254798473]","[-0.1643899184670123, -0.6664115279325434, -0.1472703366559086]",2788,5877
3322,,,"[0.25199260151592684, -0.43188150030091876, 0.11647640885681282]",,,"[0.027643310416445542, -0.4332107383375252, -0.24331411987833682]",,3949,3313
3323,"[0.19239532641902785, -0.5986653406666445, -0.13264377256317306]","[0.06455312681186309, -0.6138054851575713, -0.13153804302419406]","[0.13449251084511823, -0.5334487087019378, -0.24401210948856186]",,,,"[0.0017258129489770698, -0.6939448459810613, 0.043025680682389836]",4124,8742
3324,,"[0.3086679517187408, -0.8324815041877607, 0.2600576126613081]","[0.450302843952424, -0.8717204352947476, 0.30962303265601243]","[0.35927859071078244, -0.6926147692569201, 0.1079108048901155]","[0.21748636626550433, -0.6136603014140876, -0.10315146858486127]","[0.15270389050736435, -0.6035625077848185, -0.02634811725377315]","[0.18348158932306857, -0.7476226117357818, 0.16357024651817625]",2773,1474
3325,"[0.19909544672812243, -0.5895007629983475, -0.21064081374606478]","[0.07102039149764167, -0.5819844656726065, -0.23842283697918734]","[0.24058533981284075, -0.5903618147552874, -0.3382226472559876]","[0.10067027567541208, -0.6512642987732018, -0.012620866502333532]","[-0.12530031688769694, -0.6687417925574929, 0.23055990286651348]","[-0.16395708475971585, -0.6342261547729603, 0.1134472049185371]",,3771,12652
3326,,,,,"[-0.28059655328346045, -0.6889904434690305, -0.058431888562908645]","[-0.34221424850917814, -0.6630760621230123, 0.041527507967052096]",,5711,7946
3327,"[0.2945715963097706, -0.5517486935521747, 0.053533751473820015]","[0.16670725651623594, -0.564578183454426, 0.060788124717599555]","[0.25032575239464416, -0.5265545324457102, 0.15746079696301435]","[0.3277379968215738, -0.6431920607865012, -0.04809865633198664]",,,"[0.1338718316153521, -0.6425624212755136, -0.04996073125020738]",2773,1517
3328,,"[-0.09036178590116209, -0.7866839757635293, 0.3610998084265735]",,,"[-0.14117768296707395, -0.6554222205185164, -0.1334467305432371]","[-0.20099490221045654, -0.6505281948805458, -0.0526320338152779]",,3514,10390
3329,,"[-0.31537351714106016, -0.6900925951517763, -0.14461109786991105]","[-0.18071334609691475, -0.6734654183655006, -0.01794311259607242]",,,,,5711,8017
3330,"[0.08845975547559103, -0.45928320131630423, -0.20561064016663622]","[-0.03641571244366918, -0.4719018522291244, -0.18700053338019526]","[0.05661629800964833, -0.5212562108327118, -0.3172702721655392]",,,"[-0.031839533377164275, -0.6068787342837378, 0.24697012327052192]",,3315,15057
3331,,,,,"[-0.41844232749954186, -0.7377339320497697, 0.03542962306621054]",,,3621,6186
3332,,,,,"[0.5077224673291166, -0.8705214518255003, 0.011719334873984162]","[0.4081182580184465, -0.841401903128602, 0.03195806405127806]","[0.27786353699112265, -0.7526920428082159, 0.16775919095982803]",2559,2566
3333,"[-0.09927955361873708, -0.7883109755081671, -0.1819064662214248]","[-0.14871642790890768, -0.4840864442977242, -0.12882347631596064]","[-0.05099186494212499, -0.8308202040685805, -0.26365062193687644]","[-0.29427108347180864, -0.7353086148490249, -0.020077347069923576]",,,,5002,13851
3334,,,"[0.02669314138048666, -0.6957165744064852, 0.3055203140015859]","[0.2068726674808975, -1.3198319436386101, 0.44751006733372184]",,,"[-0.013334165053023607, -0.7502488507492763, 0.1913704801286333]",1957,3736
3335,,,"[-0.2102766852330601, -0.6936736273208131, -0.29735436980934404]","[-0.23845163476910358, -0.5270551343997171, -0.17920718523689744]",,,,3164,1858
3336,"[-0.08752877412012, -0.6786602582175408, -0.2847141822108245]","[-0.22543615910461828, -0.6424505587116299, -0.2905645424706589]","[-0.10488199834054854, -0.8069463405265387, -0.49197041779238987]",,"[-0.338688373304405, -0.7741342928907587, 0.31017354651609247]","[-0.3695676958568547, -0.664609462190568, 0.14336774751275583]",,5240,16203
3337,"[0.25606275342074525, -0.7982476592044896, -0.1654698252010151]","[0.15313038180115482, -0.7697060067164118, -0.23734091536125745]","[0.3350127917780103, -0.7867466042250121, -0.2694991775242544]","[0.03486449486859041, -0.8108003488879819, -0.031053517721656192]","[-0.27639602013526327, -0.7884035085968195, 0.10915679669461173]","[-0.28155127863779134, -0.7693939647774115, -0.009433573323306901]","[-0.04792515747843939, -0.7750373933023659, -0.169196167685151]",2920,7505
3338,"[0.199938076420247, -0.7829214049716297, 0.22836370485841137]","[0.2976052930628221, -2.1293935072927717, 0.8919628568857344]","[0.22665578413649143, -1.0404884125378835, 0.5097513184526161]",,"[-0.005996293656991622, -0.6400216339009165, -0.2574662778871125]","[-0.08925070702298503, -0.6681005160180139, -0.1839642613404077]",,6585,10620
3339,"[-0.01969417943620192, -0.8556494255652006, 0.3214808054345819]","[-0.17696834664090644, -0.852860521551255, 0.3450230354629049]",,"[-0.09030275283363443, -0.8811763487814035, 0.0871058529510931]","[-0.28902067961162914, -1.024782050268899, -0.11642072831162655]","[-0.38580299189726386, -0.9664872070536972, -0.07969467661924595]","[-0.3162352316630319, -0.8709304914988409, 0.18779255691989313]",4480,2307
3340,"[-0.10598291435551489, -0.8015364700608661, -0.22514525464292667]","[-0.2244253717548677, -0.8284457234349214, -0.22327202644824345]","[-0.10432087770972319, -0.8089265558710709, -0.33887087881446065]","[-0.151513892196976, -0.8062182359009877, -0.04773279096369113]","[-0.2705811035286464, -0.7786713077187485, 0.16337856522150357]","[-0.3754859798883263, -0.7807732499531842, 0.09036647896963255]",,2788,5817
3341,,,,"[-0.0636128937648982, -0.1942575725284964, -0.043660466796232617]","[-0.22459176895007954, -0.538237712439861, -0.2876395641769772]","[-0.304673090192061, -0.5012762807921916, -0.23941743042482794]",,2785,4329
3342,,,"[-0.450298265265341, -0.9406563166367131, -0.5897539394369945]","[-0.19468473895923785, -0.5994386165835908, -0.30973410313102584]","[-0.08804845619614957, -0.8658016503553628, 0.16323294539288435]",,"[-0.3259686723770972, -0.693640682312411, -0.13896292919069647]",3621,6306
3343,,,"[0.30633252632178964, -0.7640830412020032, 0.3203761440229341]","[0.18094476109103197, -0.708211894381156, -0.025333190935916433]","[-0.04812289380767775, -0.6665484327440865, -0.18855885995217553]","[-0.06365307566500653, -0.6791845627967882, -0.10379562440373917]","[0.035455770318434755, -0.7375844755957809, 0.07012918614273797]",2949,10015
3344,,"[0.12613380878554872, -0.7312746424251101, 0.3281092262111966]",,"[0.17373437419008514, -0.6119289591552095, 0.078581058371159]","[0.13995617002494287, -0.6342422621111904, -0.16697480454553087]","[0.01617994277689065, -0.6266305194375669, -0.10966797208165306]","[0.005742633301229459, -0.6758448421271066, 0.16256683197993976]",3148,9137
3345,"[0.21758985159838698, -0.5178909560144869, -0.3269140218174307]",,,"[0.09332090405288301, -0.561695189454553, -0.17146830981352873]","[-0.11142142982997275, -0.5702196942069302, 0.004039174905318153]","[-0.18540900541688893, -0.5576232502600492, -0.06920397471222596]","[-0.03848685952210978, -0.5540442271478729, -0.26748302440091126]",2788,5978
3346,"[-0.0345789662836292, -0.6649878626085899, -0.27216558857623085]","[-0.1742309079681634, -0.663568656909128, -0.26647357031506763]","[-0.08145972047184422, -0.6673846694716528, -0.39999379511392574]","[-0.025584159246180356, -0.730423558959095, -0.05758641754417766]","[-0.013769746285911528, -0.7918529874328633, 0.21104865145086688]",,,3746,11472
3347,,"[0.5600337030197048, -1.114951441996139, 0.45287926183906935]","[0.09242097421946056, -0.22329735754455857, -0.11205722324263738]",,,,,4315,799
3348,"[-0.1980418650457629, -0.5965663417918887, -0.37092021283765975]",,"[-4.363183664653466, -7.342941177966591, -4.546264582655958]",,"[-0.2577697060239918, -0.6340451035694594, 0.21231575897707078]","[-0.3258986335103574, -0.5547803083719514, 0.07589370499158522]",,5240,16193
3349,,"[0.05814086290531551, -0.6968817216861362, 0.1740646643674731]","[0.1810929776305027, -0.7402104159982191, 0.10604311501983493]","[-0.634367698302765, 3.660909560660922, -1.9336849514608807]",,,"[-0.0675417528998104, -0.6239053571584185, 0.25238720346384486]",2773,1580
3350,"[0.40497204688054717, -0.8841521909164354, -0.23890926185885208]","[0.24521608537355735, -0.9033549199380569, -0.18702349689425563]","[0.3044737878688459, -0.8969955298725124, -0.3545484102007993]","[0.5272848250728897, -0.8799939728939085, 0.01631616797323322]","[0.45994432452068484, -0.894755620452612, 0.35364906891907527]","[0.3307739274791591, -0.859196417120304, 0.2396055815599238]","[0.248056472177517, -0.930630211847102, 0.009893219433473849]",5981,1185
3351,"[0.03884444494354029, -0.735452108885668, -0.31834395868807647]","[-0.0791720063086685, -0.7482370888316329, -0.3513791276687324]","[0.024193744831781085, -0.7189172973065681, -0.4219894787158616]","[-0.03166530925426013, -0.7905961418465822, -0.16493653937475447]","[-0.1969628600672984, -0.8040636711943937, 0.0456423392881464]","[-0.2614744758038689, -0.8043501741883105, -0.04536020412427293]","[-0.1943794502226328, -0.7886603640599322, -0.2430177810861003]",2920,7537
3352,,,"[0.4679392627207678, -0.7969538082651623, 0.2655931738140932]",,,,,2559,2600
3353,"[0.0036652878512273227, -0.6503791279386408, 0.15297977198331036]","[-0.027954680291299168, -0.15630258146281165, -0.0691658500411337]","[-0.11676328672770293, -0.8517422114890962, 0.38796771223043486]",,"[-0.01882421141345609, -0.5580350036494064, -0.3109732276823483]","[-0.09938005040122269, -0.5543373392513591, -0.24562825342970884]","[-0.1746896482415371, -0.5940718274656933, -0.030385763033256602]",3610,13532
3354,"[0.2907303854359597, -0.611949430065498, 0.21948693585832466]","[0.10056930842312328, -0.5494270368438398, 0.1846214759340027]",,,"[0.1785451932728939, -0.5325162886695463, -0.2940987363067217]","[0.0674897974085566, -0.499932233511052, -0.2291819583456182]",,5002,13980
3355,"[-0.004207597119301294, -0.6370091206958787, 0.20373110026983798]","[-0.14550418468568432, -0.5883198556985153, 0.15763408086217484]","[0.06285915288957002, 0.37208539611326624, -0.20120626782359327]",,"[-0.005481602297806866, -0.5649323812863976, -0.27136333627301656]",,,3610,13513
3356,,"[-0.21990115730758786, -0.6811430173383077, -0.2618535485040764]","[-0.0639005499319, -0.7000561112908262, -0.3865473669905954]",,"[-0.3069320264353676, -0.7124291367684428, 0.28209752616987593]","[-0.3956488627221318, -0.6337658059644602, 0.17939620727723912]",,6771,7199
3357,,"[0.37584261684455983, -0.7764803527654671, 0.18680228877171634]","[0.5079030978778201, -0.8429536340405611, 0.3487161825485405]","[0.4677364991426283, -0.7522868616587285, -0.05404122903148958]","[0.2679240357457168, -0.7544271641004368, -0.30494396504007765]","[0.19286657220234135, -0.7352482514553628, -0.23162506593744306]","[0.24762862510823827, -0.7572195739758592, 0.03338225239085758]",4480,2194
3358,"[0.060796496542204335, -0.47883457885855746, -0.20780987712614463]","[-0.06299942764539143, -0.5073120548572673, -0.22047173534193157]","[0.08049101572617494, -0.5945461054763628, -0.3668203594460528]",,"[-0.1596658245234691, -0.6141888661361091, 0.24324968965507868]","[-0.20734080874990934, -0.48443708639138316, 0.13330173502374432]",,3315,15064
3359,"[0.2960243358302135, -0.6316976717415191, -0.4027168594110837]",,,"[0.2233610338693637, -0.6251481320413341, -0.21585906364952753]","[0.07777274245727127, -0.616360502014685, -0.05621344343700648]","[-0.010316601791641573, -0.6239251494755393, -0.11716470254149254]","[0.0746201984847892, -0.638573076377544, -0.2906887675034597]",4124,8730
3360,"[0.11634166897104693, -0.6963435951310981, -0.31334021416345237]","[-0.047728527413867045, -0.6776021853937079, -0.31005638652496476]","[0.10024517063061181, -0.8151616859333682, -0.4999253437048994]","[0.10704653543208859, -0.7184993325839745, -0.07125550758130321]","[-0.03751885076604534, -0.7288388025772625, 0.21442700336728077]","[-0.11155018902022186, -0.6752443605587202, 0.116831311158483]","[-0.12867386179754212, -0.6889300251881562, -0.16077414977241983]",6355,14632
3361,"[-0.1623526044683446, -0.8806559960599787, 0.39379879559788006]","[-0.35334165840149606, -0.8626588403779514, 0.3722700269885254]",,,"[-0.1314833328621592, -0.6315797084085399, -0.1716252820624616]",,"[-0.35851779250448873, -0.7433342278154108, 0.12915923436662627]",6585,10696
3362,"[0.06309083211181152, -0.5754674898823677, 0.09030475388461695]","[-0.07221147885042212, -0.5244264484628383, 0.08625335366004876]","[0.025914757887403852, -0.6881849895834555, 0.27644078940381445]",,,,"[-0.1470115192971889, -0.5112280700560616, -0.07565337081355748]",3710,14346
3363,,"[-0.017076938047313715, -0.5854847488597938, 0.10362732175820644]","[0.06675706715102751, -0.6970363142269234, 0.2696274786981874]",,"[0.10623614374602822, -0.5793239284008951, -0.29638642719691666]","[0.02546000073612478, -0.5911307148316877, -0.25609275434262185]",,2697,11977
3364,"[-0.04624404373341304, -0.6412505976718329, -0.28498191919908666]","[-0.17462496903705718, -0.6512799156121855, -0.2504334576676451]","[-0.16876618423638245, -0.6995421792802838, -0.4112869230007331]","[0.03214076561612883, -0.6335992153772506, -0.11944190078953604]","[0.21769303512549487, -0.6880026472967212, 0.2254796733985515]",,,5395,6725
3365,,,,"[0.049238510192199256, -0.5529638399957363, -0.15735186274285745]","[0.1311675800051493, -0.5631435060405927, 0.138918194423707]","[-0.016008093336187107, -0.5906725625569016, 0.0939979795090271]",,5395,6709
3366,"[0.07748088711986419, -0.7784884886243048, -0.01031157648614463]",,"[0.09935460462654232, -0.8346801128771858, 0.15445793861041746]","[-0.019787368337661853, -0.716309887231254, -0.24421925630621438]",,"[-0.2316439602689686, -0.6536338878533159, -0.37846661726656894]",,4124,8779
3367,,"[-0.3359298564716959, -0.6893573549546467, 0.2709980858475934]",,"[-0.1894244757569732, -0.6739934964859384, 0.011366989523267514]","[-0.27327058258457876, -0.6330711633510422, -0.26300176653059837]","[-0.37445540488308315, -0.6421560979065084, -0.17297031442655933]",,4606,9500
3368,,,,"[0.2372350480910054, -0.6466787056320261, 0.16475066072129138]","[0.0159474305520651, -0.6073640473864476, -0.013150085849854647]","[-9.472234475876263e-05, -0.6198720538067776, 0.06973734357978187]",,2949,10023
3369,"[-0.13296298330055872, -0.6453921258287417, -0.27339452675324566]","[-0.2651201420421861, -0.6499787878774083, -0.2653750790743944]","[-0.20388570355063118, -0.6597783354978762, -0.40013415130296015]","[-0.07542338476910979, -0.6398898330123168, -0.08799711703760447]","[-0.15737838541064098, -0.6688916215533464, 0.1926393627548583]","[-0.2403851473322377, -0.6124712041794339, 0.10142797961522503]","[-0.3104737669090611, -0.6540348838651847, -0.11772617227978359]",4860,5123
3370,"[0.22077779428354696, -0.8480872303161677, 0.2422106284923798]",,,,"[0.1552408496414393, -0.8394415038893054, -0.11705626499811457]","[0.024381383166661417, -0.7950832948803868, -0.03836833170441824]",,6020,8263
3371,,"[-0.1253473373870929, -0.7233882355117892, 0.12896204567034633]","[0.010675971067904261, -0.7466988777265615, 0.25818360253179984]",,"[-0.16961093521450807, -0.6592127458355013, -0.2884271654732708]","[-0.22867414240135417, -0.6645949284578943, -0.21409704769227703]","[-0.19962078816755385, -0.6496701088021228, -0.015140208920166737]",3514,10313
3372,"[0.12359989973603866, -0.780188502849624, 0.12726397875791126]","[-0.02015316840777507, -0.7790740541688049, 0.1339773511896037]","[0.0748969921754649, -0.8126595216310238, 0.024171399952702184]","[0.13686672832666408, -0.7408168859709389, 0.3086549865369374]",,,"[-0.11016211419267798, -0.6862268385537306, 0.23126370222173742]",4480,2270
3373,,"[-0.045097014380442633, -0.564848171758977, -0.3057004353243637]","[-0.0693608394871361, 0.4576930401749661, 0.10958962132844495]",,"[0.031026538605763227, -0.6446163507036097, 0.10650025828506243]","[-0.0548118934263253, -0.6212805569222773, 0.03371930332275279]","[-0.0992477363988597, -0.6009329297285471, -0.1877759352172457]",2697,11825
3374,"[0.23191809490806795, -0.6935025803778508, 0.2810937387300505]",,,"[0.16784976773726773, -0.6378792229923776, 0.0405039736283429]","[0.052564301982593944, -0.6463595768642049, -0.1656253394305493]","[-0.006138137724724747, -0.638065487118956, -0.11022033404234707]","[-0.0037794015276068835, -0.31568480647732095, 0.05433852963847902]",4124,8768
3375,"[-0.1388201573503603, -0.6117943171624776, 0.2439626341642813]","[-0.27184550610567126, -0.5749177472180179, 0.2062182444613818]",,,"[-0.0919617536207303, -0.5152800661530483, -0.23892160207129287]","[-0.18159312864083987, -0.5310637449228653, -0.18519166170671933]",,4860,5199
3376,"[0.41858865457537586, -0.8534292901392402, 0.32936075590136954]","[0.28124434054723324, -0.8197274932670863, 0.3091704092060644]","[0.4393105665730731, -1.0319290045116303, 0.5234760908939868]","[0.406977777457608, -0.7571801389396947, 0.13000377414469835]","[0.3670023175230442, -0.7595812296724297, -0.08366617718052537]","[0.2955989356684389, -0.748210935289378, -0.009938132293708078]","[0.2438197720999284, -0.8029501263616597, 0.1744704687274501]",1957,3793
3377,"[-0.0007411015718136116, -0.70461668325115, -0.2862428496126554]","[-0.1350539853585313, -0.7130935476639966, -0.27024170761966354]","[-0.0755096495984784, -0.6902230958612564, -0.402504845486303]","[0.08215541938970954, -0.7272397990734814, -0.0910684370300964]","[0.014349648753546388, -0.8006049071428045, 0.2164255595644251]","[-0.08352122711725761, -0.774245361730157, 0.1269009928392381]",,4860,5013
3378,,"[-0.09105969275601795, -0.8009406278353096, 0.19633832350896105]","[0.05942297553387881, -0.8785465132077926, 0.3684994479153607]","[0.02233737049527127, -0.7483889355042643, -0.036044508365337055]","[-0.18580232098850652, -0.6158770828660322, -0.2166436364365006]","[-0.216348962218128, -0.6462870960527977, -0.13271896093670807]","[-0.1595648146639772, -0.7546033477012577, 0.04870587662833313]",2949,9994
3379,"[0.20455829252481625, -0.8772768908142283, -0.2915200168122981]","[0.0757460492608107, -0.8672611828471851, -0.260717451553526]","[0.12839628129298422, -0.7881218001460905, -0.31380885850376117]","[0.25372706651992644, -0.973711264696669, -0.17719104744500835]","[0.20735688925357418, -1.1145492454131298, 0.02145401688002568]","[0.11914228414881593, -1.0445564338794524, -0.03078705512877622]","[0.04911536903302377, -0.9422136994181808, -0.1791398019710737]",2773,1586
3380,,,,,"[-0.15245529221555706, -0.649505927375467, -0.07893507657231472]","[-0.24941067786693497, -0.665245094225034, 0.00872269891385547]",,4606,9462
3381,,,"[0.25268636202557887, -0.5079253796117358, 0.02047265162121289]",,"[0.15300891807907105, -0.6699401897044402, 0.2724277137620829]",,"[0.125182299901352, -0.6382800089598143, 0.12192727118167895]",4315,840
3382,"[0.21415657484607184, -0.8960051357983492, 0.02588692382652175]","[0.04098194203919428, -0.9179712705947232, 0.01748010415472725]","[0.1821167961624792, -1.039591464718873, 0.18444282054823627]",,"[0.0759597518776759, -0.8418271814476289, -0.5043690545476511]","[-0.025974520071226078, -0.6579930106030535, -0.34856269203064094]","[-0.048368944677169436, -0.7777865516472617, -0.15783434408715852]",6585,10703
3383,,,"[7.784536677220853, -13.070641559829523, 7.977700319714089]",,"[0.22368175224609207, -0.6211410572499325, -0.26392286685920074]","[0.18860532579934075, -0.5936546742729542, -0.1557859665624993]","[0.1711968046849786, -0.6562745951220829, 0.08054303694963835]",5981,1083
3384,"[-0.17432980975941118, -0.6502570691236559, 0.16939398958369187]","[-0.3121069895683484, -0.6415798730458279, 0.15832821617961373]","[-0.2419569651986596, -0.7186485655452146, 0.30713772258375155]","[-0.1659365197839693, -0.6000207324228598, -0.008729651227965587]","[-0.26080854395504427, -0.5343714624297405, -0.22685985032177447]",,"[-0.35462996195964036, -0.587588870775732, 0.01283907659034704]",2748,4774
3385,,"[-0.19110845299129284, -0.4742513717731452, 0.12030280663310147]","[-0.12812320510105007, -0.6220829279138447, 0.24646972076790266]","[-0.1987924422669833, -0.5248356961575361, -0.04584038185707328]",,,,2121,2948
3386,"[-0.12831195335757764, -0.9016486793444148, -0.2433796065372672]","[-0.26481800553131624, -0.879531351002342, -0.23941880188556242]","[-0.1388230770376889, -0.8676946031375811, -0.35783281785859616]","[-0.10841311666333227, -0.8373765613269433, -0.06003330068732921]","[-0.18251904855694265, -0.7533461213311344, 0.17272855740625667]","[-0.2766285681760065, -0.7877522550998408, 0.10571839761832405]","[-0.3205879555453456, -0.8311364870524709, -0.08681713436950046]",3164,1902
3387,"[0.10074331453361522, -0.48409669332120997, -0.1926530913920009]","[-0.0026723016792893016, -0.4914033134642049, -0.20015419806484602]","[0.07906563626478949, -0.4820080107686551, -0.2819222617384049]","[0.08749461940891505, -0.48495211251801196, -0.05704596062250745]","[0.03495070486213192, -0.5362913116743057, 0.1729333489936432]","[-0.03502768801308999, -0.46596704929828164, 0.09360430246841486]",,1673,15413
3388,"[0.22468470613770983, -0.7376519508540212, -0.25149852579740606]","[0.09822057404445063, -0.7100968965287331, -0.2349431762614708]","[0.16926633053321777, -0.6683728771146573, -0.33525704006699114]","[0.2679621377936771, -0.7855101818192511, -0.07666261366122157]","[0.22630994106153837, -0.7333152876405815, 0.17692725386890015]","[0.13437374790957787, -0.7346530006925733, 0.10059122089151408]","[0.053170244403568545, -0.7409945882629551, -0.0887664468781163]",2773,1488
3389,,,"[0.27950649796411986, -0.4788226680030252, -0.07923683962937504]",,"[0.32470281919355276, -0.6788724612983756, -0.371054630886299]","[0.25934084904775534, -0.6311404375515548, -0.32555977056878416]","[0.16782134531560502, -0.4588890587546256, -0.15323696095633568]",3949,3438
3390,,,"[0.07481058577373784, 0.4316742950069739, 0.11508487018154528]",,"[-0.20916351430595792, -0.4403991622720257, 0.10624510808527073]",,"[-0.27729414037388245, -0.4848469349721073, -0.19041523606138933]",3164,1909
3391,"[-0.02332114767804973, -0.8023419135622056, 0.16139836159024348]","[-0.20335314907209742, -0.7996005974915508, 0.15739398731203003]","[-0.09521923027455446, -0.789641384464433, 0.3246031765265987]","[-0.061763123350753804, -0.7635194279661285, -0.10211492845959085]","[-0.1497423442892845, -0.7343482347124957, -0.3657511978957832]","[-0.2547251776473258, -0.7498101144742766, -0.286022284478988]","[-0.289775211005241, -0.7842170151167827, -0.04318604837114428]",4606,9614
3392,,"[-0.3353579700971461, -0.6398237117740428, 0.18678677432513038]","[0.06567269889739055, 0.16964609292763852, -0.08804399636993858]",,,,,4860,5168
3393,"[0.3656412231393668, -0.6431939751735058, 0.1092718067704924]","[0.25133517810918504, -0.6602107517097471, 0.17185699709445731]","[0.4080417591445843, -0.6508593403839621, 0.24293482101561326]","[0.1763061619758546, -0.5838247222305898, -0.07227343709080915]","[-0.07821458903332972, -0.5532490504126197, -0.24996052250078638]","[-0.1097494952445281, -0.5378063492887707, -0.16821128470759356]","[0.04561288424342383, -0.6182879483053505, 0.05997950559106022]",3771,12695
3394,,,"[-0.5248243805244605, -0.8655286343472494, -0.024064483274218722]",,,,,1957,3773
3395,,"[-0.050976674578917656, -0.6643118181335327, 0.10235299181503062]","[0.06030498882251719, -0.6952624452579707, 0.23631113264837278]",,"[-0.08437121440333875, -0.6028682939157622, -0.30551583008695427]","[-0.13899843441271525, -0.602499839063264, -0.22631487577084838]","[-0.12751700305827884, -0.6358300144364034, -0.034548568604105885]",3514,10349
3396,,,"[17.832556918683384, 43.74942626360018, -26.536187905349625]",,"[-0.006133372766611892, -0.641174854177595, -0.22277986818609588]","[-0.040527981916580795, -0.2166258896611081, -0.06852994243780484]",,3710,14388
3397,"[0.07488066532732447, -0.8828209389709303, -0.021571435645024718]","[-0.04103035343796836, -0.9271151534075276, 0.009530050770673208]","[0.12435534673165885, -0.9862577481862752, 0.06867021659990459]","[0.00811580001721606, -0.866723452663983, -0.1925802185464134]","[-0.13662936827021815, -0.878860815431529, -0.42260919836011185]","[-0.21581141052591798, -0.8537653089077051, -0.3599754697389178]","[-0.17828326377958476, -0.8969811446061018, -0.1265950452788931]",3164,1847
3398,"[0.11877192839814191, -0.6179209139875287, 0.20160334890619339]","[-0.023372164699774503, -0.6210138961597332, 0.23649481000822806]",,,"[-0.22743856464993867, -0.5453841331609599, -0.23706613001733087]",,"[-0.18221180119261882, -0.590134611368982, 0.08793750715845221]",3771,12783
3399,,"[-0.3700662277982112, -0.7820518026882857, -0.07858595552503708]","[-0.22244705059076236, -0.7451819470051433, 0.01628015572025018]","[-0.23884768185268307, -0.8002456826974702, -0.09437809323027299]",,,"[-0.5762493445927301, -0.9703101062493537, -0.09633792069753036]",2997,4162
3400,,"[0.20815633729543578, -0.8067094497275499, 0.1582085908047945]","[0.3662798051759305, -0.8426208020450842, 0.3065584892412074]","[0.30469150613106316, -0.7477940881446121, -0.0598815945576564]","[0.08960399979952026, -0.6478436139144284, -0.240045252097971]","[0.05905115233420739, -0.6826030586288951, -0.1676436941214714]","[0.1285869978182612, -0.7784967488982262, 0.014344259417851796]",2949,9926
3401,,,"[-0.1637144605710403, -1.0539130864519812, 0.2005320152813046]","[-0.2059103871224294, -0.8539061454152945, -0.23860420950750816]",,,"[-0.46179147358519823, -0.807819260375171, -0.1422349612552322]",6020,8376
3402,,,"[0.2824739604642356, -1.2769907633275408, 0.49494773801030617]",,"[-0.14127996069582782, -0.690072741356974, 0.13497776785870924]",,"[-0.21525189151888027, -0.7411232190726854, 0.24266025154699922]",3621,6290
3403,,,,"[0.21459852301557478, -0.5816702519892137, 0.15434952833519822]","[0.2055967139278876, -0.6154441833590121, -0.07228592621670671]","[0.0869009951141968, -0.6035385086186691, -0.025710161336985775]","[0.0483988997254912, -0.6038834062201481, 0.223221783641749]",3148,9134
3404,,"[-0.3612339234083396, -0.6490538275606564, 0.1736115766756277]","[-0.3699651483211486, -1.0283053869924843, 0.5171401785785903]",,"[-0.2026184034889158, -0.5953700979809005, -0.33313712033976123]","[-0.35524144096657717, -0.650173337825491, -0.3016209131634295]",,4860,5173
3405,"[0.17185172933688855, -0.7714830657114481, 0.084614111743171]","[-0.10181412663465651, -0.7004526905256336, -0.07427733461420717]","[0.1591250150642375, -0.7791855382950528, 0.2318860325990688]",,"[-0.023319655947184027, -0.6458703114315396, -0.37320551421961284]","[-0.09735273790654522, -0.6400300201115856, -0.2936390583192337]","[0.005808769543505263, -0.7508029180016504, 0.10218954346605601]",6020,8356
3406,,,,"[-0.004591108011175697, -0.8005714586137105, 0.3013741187659089]","[-0.18889996855845828, -0.9253456034033293, 0.10591744159830589]","[-0.2312512163763943, -0.8498926469623503, 0.15837170152687013]","[-0.19694520653577025, -0.7629934599478426, 0.34092324056371204]",2997,4070
3407,,,,,,,,4480,2231
3408,,"[0.1076127998260177, -0.7241947953629002, 0.022605395248431595]","[0.4851678130222555, -0.9996964893500847, 0.4873726039888376]","[0.3279728435514473, -0.7378952907601954, -0.037228520121766834]","[0.16119483304534632, -0.5929789433944661, -0.30396252066522195]","[0.09668709893422006, -0.6029650767186325, -0.2076404000199674]",,4592,5592
3409,"[0.12886305579075272, -0.6404766893658739, -0.32590751153663383]","[-0.03502045984561771, -0.6429640020333603, -0.31707646451862226]",,"[0.15648203497404725, -0.6761109603759081, -0.08294377903590602]","[0.0666342692507564, -0.7790035733635989, 0.23207880489418867]","[-0.03126437705185185, -0.7113688282621499, 0.13932432936943542]",,6355,14645
3410,"[0.13907631799321413, -0.4867157046101184, -0.17031669539697716]","[0.03606333014908848, -0.49973909251140486, -0.18492933791731703]","[0.12831705254924314, -0.4893756503656075, -0.2773775330938921]","[0.10933820483268301, -0.49801134003690717, -0.030423958530702122]","[0.05012050084992394, -0.5886066195501514, 0.2017700423214503]","[-0.027753053090326146, -0.5364990684523977, 0.13342547202883737]",,1673,15426
